Label,Source,Sentence,
Response to Climate Change,TOSHIBA,We will therefore continue to promote the development of energy technologies to realize decarbonization and to improve the energy efficiency of products.,
"Climate Change(policy, strategy, objectives and target)","Climate Change(policy, strategy, objectives and target)",Our policy recognizes that climate change is a serious threat and expresses our belief that we should all do our part to reduce harmful greenhouse gas (GHG) emissions.,
"Climate Change(policy, strategy, objectives and target)","Climate Change(policy, strategy, objectives and target)","Signed by Yuanqing Yang, Chairman and Chief Executive Officer, it applies to all Lenovo operations and activities.",
"Climate Change(policy, strategy, objectives and target)","Climate Change(policy, strategy, objectives and target)",Our strategy focuses on the following five key areas:,
"Climate Change(policy, strategy, objectives and target)","Climate Change(policy, strategy, objectives and target)",Internal operations and the direct emissions from our facilities,
"Climate Change(policy, strategy, objectives and target)","Climate Change(policy, strategy, objectives and target)",Energy suppliers and their operational emissions which are attributable to our activities,
"Climate Change(policy, strategy, objectives and target)","Climate Change(policy, strategy, objectives and target)",Our supply chain and emissions associated with the production and delivery of goods and services,
"Climate Change(policy, strategy, objectives and target)","Climate Change(policy, strategy, objectives and target)","Our customers and the emissions associated with their procurement, use, and disposal of our products",
"Climate Change(policy, strategy, objectives and target)","Climate Change(policy, strategy, objectives and target)","Government, NGO, and public actions in support of transitioning to a low-carbon economy",
"Climate Change(policy, strategy, objectives and target)","Climate Change(policy, strategy, objectives and target)","In each of these areas, we identify and work with partners to drive and facilitate global, national and local GHG emission reductions.",
"Climate Change(policy, strategy, objectives and target)","Climate Change(policy, strategy, objectives and target)",Lenovo supports multi-stakeholder efforts to drive progress in climate change mitigation through the following activities:,
"Climate Change(policy, strategy, objectives and target)","Climate Change(policy, strategy, objectives and target)","Lenovo's emission reduction targets have been assessed and approved as science-based by Science Based Targets initiative on June 30, 2020.",
"Climate Change(policy, strategy, objectives and target)","Climate Change(policy, strategy, objectives and target)","Each year, as part of our EMS process, we set company-wide objectives and targets (O&Ts). These O&Ts address areas identified as significant for Lenovo, and, with regard to climate change, include energy consumption, associated GHG emissions, and resulting climate change impacts.Each year, as part of our EMS process, we set company-wide objectives and targets (O&Ts).",
"Climate Change(policy, strategy, objectives and target)","Climate Change(policy, strategy, objectives and target)","These O&Ts address areas identified as significant for Lenovo, and, with regard to climate change, include energy consumption, associated GHG emissions, and resulting climate change impacts.",
"Climate Change(policy, strategy, objectives and target)","Climate Change(policy, strategy, objectives and target)","In designing our solutions, we seek prioritize energy efficiency first, driving installation of onsite renewable energy generation second and purchasing renewable energy commodities or carbon offsets third.",
"Climate Change(policy, strategy, objectives and target)","Climate Change(policy, strategy, objectives and target)","In addition to initiating projects to improve energy efficiency and reduce our greenhouse gas emissions across our organization, we are looking to increase Lenovo's use of renewable energy globally.",
Climate Change,PEPSICO,"To help drive a Positive Value Chain, we are aiming to achieve net-zero emissions by 2040. Our strategy to address climate change is based on two pillars - mitigation and resilience.",
Climate Change,PEPSICO,"We are working to decarbonize our entire value chain, while assessing the impacts of climate change on our business and developing resiliency plans.",
Climate Change,PEPSICO,"We believe industry and governments should commit to science-based action to keep global temperature increases to well-below 2°C or 1.5°C above pre-industrial levels, as described by the Special Report on Global Warming of 1.5°C of the Intergovernmental Panel on Climate Change.",
Climate Change,PEPSICO,"In January 2021, we announced new goals in line with the latest science, more than doubling our science-based climate goal, targeting a reduction of GHG emissions across our value chain by more than 40% by 2030.",
Climate Change,PEPSICO,"In addition, we pledged to achieve net-zero emissions by 2040, one decade earlier than called for in the Paris Agreement.",
Climate Change,PEPSICO,"Specifically, we plan to reduce direct operational Scope 1 and 2 emissions by 75% and our indirect value chain emissions by 40% by 2030.",
Climate Change,PEPSICO,"Reaching these targets will enable the reduction of more than 26 million metric tons of GHG emissions, the equivalent of taking more than five million cars off the road for a full year.",
Climate Change,PEPSICO,"Our target aligns with the Business Ambition for 1.5°C pledge, which PepsiCo signed in 2020, joining other leading companies committing to set science-based emissions reduction targets in line with limiting global warming to 1.5°C above pre-industrial levels.",
Climate Change,PEPSICO,Our strategy to achieve our 2030 emission reduction goal does not include the purchase of carbon offsets. We expect to achieve our 2040 net zero goal with limited use of offsets.,
Carbon removal,2021-Apple-ESG,We're investing in working forests and ecosystem restoration in ways that respect communities and remove carbon from the atmosphere.,
Carbon emissions,ASML-1,We are committed to taking every step required to lower our carbon footprint. It is our ambition to achieve zero emissions across our operations by 2025.,
Net zero-emission operations,ASML-2,We are committed to minimizing our impact on the environment by improving our operational efficiency.,
Net zero-emission operations,ASML-2,Our strategy to achieve zero carbon emissions includes use of renewable electricity and reducing emissions in our value chain.,
Net zero-emission operations,ASML-2,"In 2021, we expanded our environmental reporting scope from 20 locations – which covered around 90% of our worldwide CO2 emissions – to 57 locations which encompass more than 95%.",
Net zero-emission operations,ASML-2,"Taking all these locations into account, the share of renewable electricity we used globally was 92% in 2021.",
Net zero-emission operations,ASML-2,"In the Netherlands and the US, we achieved our goal of using 100% renewable electricity.",
Net zero-emission operations,ASML-2,The renewable market situation in Asia is complex and we continue to investigate options to meet our ambitions in this region as well.,
Net zero-emission operations,ASML-2,Our financial commitment to renewable projects that generate Guarantees of Origin (GO2) helps us achieve renewable electricity usage.,
Net zero-emission operations,ASML-2,"At ASML, we are reducing emissions by focusing on achieving energy savings through process optimization, cycle time reductions, and by optimizing our global real estate portfolio.",
Net zero-emission operations,ASML-2,"As at 2021, our net emissions footprint is 39.4kt.",
Carbon emissions and circularity,HP Inc. Announces Ambitious Climate Action Goalss,"To achieve these targets, HP will be carbon neutral in its operations by 2025 and reduce Scope 1, 2, and 3 greenhouse gas (GHG) emissions by 50% on an absolute basis by 2030, compared to 2019.",
Carbon emissions and circularity,HP Inc. Announces Ambitious Climate Action Goalss,HP commits to 75% of its total annual product and packaging content (by weight) to come from recycled and renewable materials and reused products and parts by 2030. These actions will help to position HP to reach net zero emissions across its value chain by 2040.,
Carbon emissions and circularity,HP Inc. Announces Ambitious Climate Action Goalss,"In line with HP's circularity ambitions, HP Operations will be zero waste in its managed facilities by 2025.",
Carbon emissions and circularity,HP Inc. Announces Ambitious Climate Action Goalss,HP's Customer Support organization will also be carbon neutral across both HP and partner-run operations by 2030.,
Carbon emissions and circularity,HP Inc. Announces Ambitious Climate Action Goalss,"HP will pursue and accelerate a range of steps, including enabling a circular economy by using more sustainable materials, such as recycled plastics and metals, and investing in forest restoration and protection.",
Carbon emissions and circularity,HP Inc. Announces Ambitious Climate Action Goalss,"Since 1991, HP has kept more than 875 million HP cartridges, 114 million apparel hangers, and 4.69 billion postconsumer plastic bottles out of landfills—instead, upcycling them to make new HP products.",
Carbon emissions and circularity,HP Inc. Announces Ambitious Climate Action Goalss,"After introducing the world's most sustainable PC portfolio, HP continues to innovate throughout its product portfolio and work with key partners to achieve circularity.",
Carbon emissions and circularity,HP Inc. Announces Ambitious Climate Action Goalss,"HP is a member of NextWave Plastics, collaborating across industries to create the first global network of ocean-bound plastic supply chains.",
Carbon emissions and circularity,HP Inc. Announces Ambitious Climate Action Goalss,HP is also a member of the Ellen MacArthur Foundation's Network and the Circulytics measurement tool.,
Carbon emissions and circularity,HP Inc. Announces Ambitious Climate Action Goalss,"HP was the first global IT company to publish its full carbon footprint and set carbon emissions reduction goals for its operations, supply chain, products and solutions.",
Carbon emissions and circularity,HP Inc. Announces Ambitious Climate Action Goalss,"HP was among the first 10% of companies with GHG emissions reduction goals approved by the Science Based Targets Initiative, including a 1.5°C aligned goal to reduce its Scope 1 and 2 emissions 60% by 2025 compared to 2015.",
Carbon emissions and circularity,HP Inc. Announces Ambitious Climate Action Goalss,"For two consecutive years, HP is the only technology company to have been named to CDP's A lists for climate, forests, and water, as well as CDP's supplier engagement leaderboard.",
Carbon emissions and circularity,HP Inc. Announces Ambitious Climate Action Goalss,HP has been a member of RE 100 since 2016 and EV 100 since 2017.,
Reducing Carbon in HP Supplies,HP Inc. Announces Ambitious Climate Action Goalss,"HP will transform its print business from a transactional model to a services model, while actively reducing the carbon footprint of its company and its products. To accelerate a transition to a net zero value chain, HP commits to carbon neutrality for its supplies business by 2030.",
Reducing Carbon in HP Supplies,HP Inc. Announces Ambitious Climate Action Goalss,"HP will start transitioning supplies to be carbon neutral by launching the HP Instant Ink with Planet Partners pilot, leveraging recycling and new renewal capabilities to extend the life of Original HP Supplies.",
Reducing Carbon in HP Supplies,HP Inc. Announces Ambitious Climate Action Goalss,"This pilot will help customers decrease virgin plastic used, and diminish waste, including ocean-bound plastics, on the pathway to circularity.",
Reducing Carbon in HP Supplies,HP Inc. Announces Ambitious Climate Action Goalss,"Launching in Germany in May 2021, HP Instant Ink with Planet Partners will allow HP Instant Ink subscribers to opt-in to receive renewed cartridges.",
Reducing Carbon in HP Supplies,HP Inc. Announces Ambitious Climate Action Goalss,The end-to-end use of HP technology and engineering is what makes this pilot unique.,
Reducing Carbon in HP Supplies,HP Inc. Announces Ambitious Climate Action Goalss,The consistent reliability and outstanding print quality of Original HP Supplies mean fewer reprints and less waste.,
Indigenous people,glencore,The report includes disclosure on our oil purchases payments to state-owned enterprises in EITI-compliant countries.,
Emissions Reduction Commitments,Trane,We developed our climate change strategy based on the latest scientific research and a dedication to limiting global temperature rise to no more than 1.5°C.,
Emissions Reduction Commitments,Trane,"Our strategy includes near-term Scope 1, 2, and 3 emissions reduction targets, verified by the Science Based Targets Initiative, and a long-term 2050 net-zero target, which has been submitted for verification this year.",
Emissions Reduction Commitments,Trane,We also commit to achieving carbon neutral operations in 2030.,
Emissions Reduction Commitments,Trane,"Our climate change ambitions also led us to create the Gigaton Challenge, which represents the largest reduction commitment of any B2B enterprise due to our baseline of 2019.",
Emissions Reduction Commitments,Trane,The Gigaton Challenge is one component of our 2030 Sustainability Commitments.,
Emissions Reduction Commitments,Trane,"These commitments reach every corner of our value chain, extending from supplier expectations to team member engagement and customer solutions.",
Emissions Reduction Commitments,Trane,"We strive to lead by example on climate action, and we will continue to challenge ourselves with decarbonization efforts.",
Emissions Reduction Commitments,Trane,"In 2020, Trane Technologies became a founding member of Drawdown Labs.",
Emissions Reduction Commitments,Trane,Participating companies devote resources to help the world reach a point when the level of GHGs in the atmosphere begins to steadily decline.,
Emissions Reduction Commitments,Trane,Drawdown Labs serves as a testing ground where companies can cultivate equitable climate solutions.,
Emissions Reduction Commitments,Trane,"In 2021, we advanced climate leadership by collaborating with corporate leaders and team members on decarbonization topics.",
Emissions Reduction Commitments,Trane,Our ongoing discussions with the consortium of private sector partners look beyond net-zero and help us stay at the forefront of climate solutions,
Emissions Reduction Commitments,Trane,"We work toward a sustainable future by reducing GHG emissions in our worldwide operations, transportation fleets, and product manufacturing processes.",
Greenhouse Gas Emissions,Trane,We continually improve our reduction strategies to achieve our science-based targets to reduce our absolute Scope 1 and 2 GHG emissions by 50% by 2030 from a 2019 baseline and reduce our Scope 3 GHG product use intensity metric of emissions per cooling ton by 55% over the same timeframe.,
Greenhouse Gas Emissions,Trane,"Our Vice President of Center for Energy Efficiency & Sustainability (CEES) oversees our emission reduction strategy and works with key senior leaders to help create annual goals, obtain science-based validation of our reduction targets, and track our progress towards our decarbonization efforts.",
Greenhouse Gas Emissions,Trane,"Our operational emission reduction strategy is lead by the Vice President of Environmental, Health, and Safety who also monitors and reports on all of our internal progress and targets.",
Greenhouse Gas Emissions,Trane,Our strategic business units and individual operation locations adopt site-specific annual emissions reduction goals and monitor performance using the Benchmark ESG/Gensuite™ platform and customized Tableau GHG Dashboards and reports.,
Greenhouse Gas Emissions,Trane,"Each location enters its monthly energy use and other activity data into the Gensuite™ platform, which calculates monthly emissions using physical properties and emissions factors.",
Greenhouse Gas Emissions,Trane,Trane Technologies follows an annual internal assurance process and conducts an internal audit to confirm the accuracy of our emissions calculations.,
Greenhouse Gas Emissions,Trane,"We then use an independent third party to verify our Scope 1, 2, and 3 GHG emissions data.",
Greenhouse Gas Emissions,Trane,Read our 2021 assurance statement.,
Greenhouse Gas Emissions,Trane,Trane Technologies is investing in emissions reduction strategies across our operations so that we may achieve carbon neutrality in 2030 with minimal verified carbon offsets.,
Greenhouse Gas Emissions,Trane,Read more about our commitment to carbon neutrality.,
Greenhouse Gas Emissions,Trane,"In 2021, our Scope 1 and 2 market-based GHG emissions decreased by 32,455 metric tons of CO2 e compared to 2020.",
Greenhouse Gas Emissions,Trane,"We reduced our market-based operational emissions intensity by 25% from a 2019 baseline, and we achieved a 16% reduction in absolute location-based GHG emissions from a 2019 baseline.",
Greenhouse Gas Emissions,Trane,Read more about our GHG emissions metrics in the ESG Data Center.,
Greenhouse Gas Emissions,Trane,Emissions from refrigerant loss accounts for approximately 55% of our Scope 1 GHG emissions.,
Greenhouse Gas Emissions,Trane,"Hydrofluorocarbon (HFC) refrigerants are especially potent GHGs that have 100 to 1,000 times higher global warming potential (GWP) than carbon dioxide.",
Greenhouse Gas Emissions,Trane,"According to Project Drawdown, addressing HFC refrigerants is the number-one way to combat climate change.",
Greenhouse Gas Emissions,Trane,Trane Technologies has dedicated many years of innovation and advocacy to this issue.,
Greenhouse Gas Emissions,Trane,Our leaders were deeply engaged during the Kigali Accord negotiations.,
Greenhouse Gas Emissions,Trane,"The Accord was signed by 170 countries just after the Paris Climate Accord, which committed signatories to reduce their use of HFC refrigerants.",
Greenhouse Gas Emissions,Trane,Our manufacturing operations follow refrigerant management standards and work with the goal of eliminating leaks and reducing direct GHG emissions.,
Greenhouse Gas Emissions,Trane,"In 2021, we updated our technical procedures to define key equipment specifications and outlined administrative controls that help reduce routine leaks and accidental losses at our manufacturing facilities.",
Greenhouse Gas Emissions,Trane,"Through refrigerant management and the transition to low-GWP refrigerants, we have lowered our GHG emissions from refrigerant leaks by approximately 25% from a 2019 baseline.",
Greenhouse Gas Emissions,Trane,Trane Technologies commits to reducing our energy consumption by 10% by 2030 from a 2019 base year.,
Greenhouse Gas Emissions,Trane,We regularly examine our direct energy consumption at our factories and look for opportunities to improve our operational practices through low energy and lean manufacturing.,
Greenhouse Gas Emissions,Trane,We also continually optimize energy use across our enterprise by shifting to energy efficient and electric equipment.,
Greenhouse Gas Emissions,Trane,"In 2021, we have made a 3% improvement in total energy efficiency from a 2019 baseline.",
Greenhouse Gas Emissions,Trane,"We have consistently made Scope 2 improvements by reducing our electricity use, contracting with power companies that only supply renewable electricity, installing on-site solar power generation systems, and by the delivery of Renewable Energy Credits (RECs) through virtual power purchase agreements (VPPAs).",
Greenhouse Gas Emissions,Trane,"In 2021, we reduced our total Scope 1 and Scope 2 GHG emissions 18% by using renewable energy.",
Greenhouse Gas Emissions,Trane,"In 2021, the fuel efficiency of our fleet remained relatively unchanged compared to 2020.",
Greenhouse Gas Emissions,Trane,"Despite disruptions to vehicle supply chains, we continued modernizing our fleet by purchasing hybrid vehicles and operated over 450 by the end of 2021.",
Greenhouse Gas Emissions,Trane,Our Logistics Team continues to monitor technology and infrastructure advancements to plan for a shift to fully electric vehicles.,
Greenhouse Gas Emissions,Trane,"In 2021, our fleet used 5.7 million gallons of gasoline and 5.4 million gallons of diesel fuel.",
Greenhouse Gas Emissions,Trane,Our fleet's average fuel efficiency decreased slightly to 19.3 miles per gallon.,
Greenhouse Gas Emissions,Trane,"The largest portion of our global carbon footprint comes from customer product use within Scope 3, which alone accounts for 90% of our total emissions.",
Greenhouse Gas Emissions,Trane,It therefore represents our biggest opportunity for emissions reduction efforts.,
Greenhouse Gas Emissions,Trane,That's why we set a science-based target to reduce Scope 3 emissions by 55% per cooling ton as an intensity metric and created the Gigaton Challenge — to inspire the transition to advanced technologies that reduce emissions from product use.,
Greenhouse Gas Emissions,Trane,Our current progress is a 5.3% reduction in emissions per cooling ton for 2021 compared to our 2019 baseline.,
Greenhouse Gas Emissions,Trane,We also had our Scope 3 data and process assured by an external third party.,
Greenhouse Gas Emissions,Trane,Three strategies implemented during our product development process help reduce our product use emissions:,
Greenhouse Gas Emissions,Trane,Higher efficiency products consume less electricity and have fewer related indirect GHG emissions.,
Greenhouse Gas Emissions,Trane,We continually expand our product portfolio to include more innovative and efficient equipment to help our customers decarbonize.,
Greenhouse Gas Emissions,Trane,Transitioning from fossil fuel-sourced products to electricitysourced products — such as replacing a boiler with a heat pump — reduces reliance on fossil fuels.,
Greenhouse Gas Emissions,Trane,We offer customers world-class electrical product options to support their decarbonization efforts.,
Greenhouse Gas Emissions,Trane,"We innovate products that use nextgeneration, low-GWP refrigerants that enable our customers to transition away from high-GWP refrigerants and reduce their HFC emissions.",
Greenhouse Gas Emissions,Trane,We also help our customers manage their refrigerants by reclaiming and recycling used refrigerants.,
Greenhouse Gas Emissions,Trane,"In 2021, we made significant improvements to our Clarksville, Tennessee, plant.",
Greenhouse Gas Emissions,Trane,"We previously tested customer equipment using refrigerant gases like R410A, but after a multi-year project at the facility, we switched to Nitrogen-Hydrogen and Helium mixes for testing; both 0 GWP gases.",
Greenhouse Gas Emissions,Trane,"The switch allowed our plant to avoid nearly 50,000 mtCO2 e annually — the annual emissions equivalent of over 10,800 passenger cars.",
Greenhouse Gas Emissions,Trane,"We upgraded light fixtures in addition to the refrigerant replacements, saving around 285,000 kWh per year in electricity consumption.",
Greenhouse Gas Emissions,Trane,"Finally, in 2021, we completed an Indoor Air Quality (IAQ) project and a cooling tower replacement.",
Greenhouse Gas Emissions,Trane,"The IAQ project enhanced indoor environmental air quality for our team members, and the new cooling tower resulted in a water use reduction of approximately 3 million gallons.",
Greenhouse Gas Emissions,Trane,"At Trane Technologies, we consider these plant upgrades a triple success, one that exemplifies our innovative approach to solving environmental challenges.",
Greenhouse Gas Emissions,Trane,"In 2021, we enhanced our methodology for calculating Scope 3 product use emissions to include the variety of products and services we offer.",
Greenhouse Gas Emissions,Trane,We now include the several million products and services sold annually in our absolute emissions number.,
Greenhouse Gas Emissions,Trane,"As a result, and to increase transparency, we adjusted our baseline year to 2019 and Scope 3 product use emissions to 363 million metric tons of CO2 e.",
Greenhouse Gas Emissions,Trane,"We are proud to report that we achieved a 5.3% reduction in our Scope 3 product use emissions intensity metric, emissions per cooling ton.",
Greenhouse Gas Emissions,Trane,This shows that we are on track to achieve our science-based Scope 3 target.,
Greenhouse Gas Emissions,Trane,It also indicates steady progress towards the Gigaton Challenge with a reduction of 50 million metric tons of CO2 e since 2019.,
Greenhouse Gas Emissions,Trane,Read more about our energy efficient and low emissions products.,
Greenhouse Gas Emissions,Trane,"Though they are comparably small, we also reduce our upstream and downstream distribution and transportation emissions through route optimization, fuel efficiency, and shipment utilization improvement projects with logistics partners.",
Greenhouse Gas Emissions,Trane,Read more about our Scope 3 emissions in the ESG Data Center and our logistics strategy.,
Greenhouse Gas Emissions,Trane,The reduction strategies we use to meet our near-term science-based targets will continue to be crucial to achieving net-zero emissions by 2050.,
Greenhouse Gas Emissions,Trane,"Once we achieve carbon neutral operations and almost halve the emissions generated from customer use of our products in 2030, we will continue to invest in technologies to reduce and sequester any remaining emissions from our products, guided by the latest scientific climate change research.",
Greenhouse Gas Emissions,Trane,We will also continue to refine our internal carbon pricing strategy for Scope 1 and 2 emissions.,
Greenhouse Gas Emissions,Trane,"By assigning a price to a metric ton of carbon dioxide through our internal approach, we can better understand the economic impacts of our emissions on Trane Technologies.",
Greenhouse Gas Emissions,Trane,We expect to drive energy efficiency and decarbonization investments as we refine our calculations.,
Greenhouse Gas Emissions,Trane,Read more about carbon pricing in our CDP Climate response.,
Reducing Emissions in Supplier Facilities,Levi Strauss & Co.-Climate Action,"LS&Co. estimates one of the most comprehensive climate footprints in the apparel industry, including all Scope 3 Greenhouse Gas Protocol categories identified as relevant to LS&Co. operations (11 of 15).",
Reducing Emissions in Supplier Facilities,Levi Strauss & Co.-Climate Action,"Of these, the biggest contributor to our footprint is our supply chain, referred to as Purchased Goods and Services (Category 1), and representing 60.4% of our footprint in 2020.",
Reducing Emissions in Supplier Facilities,Levi Strauss & Co.-Climate Action,"To make progress on these impacts and achieve our climate goals, we must collaborate with our suppliers.",
Reducing Emissions in Supplier Facilities,Levi Strauss & Co.-Climate Action,"That means working with them to set clear and ambitious targets, while also supporting their efforts to become more water and energy efficient and increasing their use of renewable electricity.",
Reducing Emissions in Supplier Facilities,Levi Strauss & Co.-Climate Action,"Between 2017 and 2020, we reduced Scope 3 emissions — those associated with our supply chain — by 14% over our 2016 baseline.",
Reducing Emissions in Supplier Facilities,Levi Strauss & Co.-Climate Action,This progress is on track to meet our 2025 science-based target of a 40% reduction.,
Reducing Emissions in Supplier Facilities,Levi Strauss & Co.-Climate Action,"However, several conditions associated with such an unprecedented year contributed to the reduction.",
Reducing Emissions in Supplier Facilities,Levi Strauss & Co.-Climate Action,"For instance, sourcing mix changes and sourcing base location changes played a role in reducing supply chain emissions, as did improvements to the electrical grid in some locations.",
Reducing Emissions in Supplier Facilities,Levi Strauss & Co.-Climate Action,"Our continued efforts to source more sustainable raw materials, such as more sustainable cotton and responsible manmade cellulosics, also played a role in reducing emissions.",
How We Help Suppliers Set Targets,Levi Strauss & Co.-Climate Action,"Fabric mills and garment manufacturers account for the majority of our full value chain carbon footprint, especially given that many of our fabric mills are also yarn spinners.",
How We Help Suppliers Set Targets,Levi Strauss & Co.-Climate Action,We are working with our key suppliers — those representing approximately 80% of final product volume — in these two supply chain tiers to make sure their emission reduction targets are at least 40%.,
How We Help Suppliers Set Targets,Levi Strauss & Co.-Climate Action,"To date, key suppliers have agreed to targets between 40% and 60%.",
How We Help Suppliers Set Targets,Levi Strauss & Co.-Climate Action,"Achieving these goals will require not only facility changes to equipment, but also investment in renewable energy of multiple forms.",
