Label,Source,Sentence,We strive to find products in a responsible manner while working with suppliers to improve their social and environmental practices.
Ethical sourcing and human rights,Wesfarmers,"The operations of the Group's divisions are primarily conducted in low modern slavery risk countries, such as Australia and New Zealand.",
Ethical sourcing and human rights,Wesfarmers,"The Wesfarmers divisions monitor and address human rights issues in their workforces under the various policies and procedures, including the Wesfarmers Code of Conduct and  Diversity and Inclusion Policy.",
Ethical sourcing and human rights,Wesfarmers,Each divisional board and each divisional management team has responsibility for identifying and managing any material risks in accordance with the Group's Risk Management Framework.,
Ethical sourcing and human rights,Wesfarmers,"Wesfarmers acknowledges we need to understand and manage the ways we affect the communities and environment within our value chain, to ensure we can continue to create value in the future. Respect for human rights is fundamental to achieving this in practice.",
Ethical sourcing and human rights,Wesfarmers,"Where possible, the Group's divisions are mapping beyond their tier one suppliers for high-risk products.",
Ethical sourcing and human rights,Wesfarmers,Wesfarmers recognises that mapping suppliers beyond tier one is a complex and ongoing process; it will take time for the Group to complete a tier two and tier three mapping exercise for high-risk products. Increased transparency among tier two and other suppliers is however an important mitigant to modern slavery risks.,
Ethical sourcing and human rights,Wesfarmers,Progress for the 2021 financial year included:,
Ethical sourcing and human rights,Wesfarmers,"Building on the visibility Kmart Group has over all own-brand and licensed brand tier one suppliers, Kmart Group has committed that by July 2022, it will identify and publish 100 per cent of tier two processing facilities that produce Kmart and Target own-brand clothing, towel and bedding products.",
Ethical sourcing and human rights,Wesfarmers,"By the end of the 2021 financial year, Kmart Group's publicly disclosed supplier list included the tier two and three processing facilities being used by the suppliers supplying over 50 per cent of Kmart Group own-brand clothing, towel and bedding products",
Ethical sourcing and human rights,Wesfarmers,"Bunnings continued to use the Supplier Ethical Data Exchange (Sedex) platform to map tier one manufacturers, covered by its ethical sourcing program. To gain visibility beyond tier one suppliers, Bunnings continued mapping its timber supply chains, through the responsible timber sourcing program, which maps timber sourced back to the forest in which it is grown.",
Ethical sourcing and human rights,Wesfarmers,Workwear Group continued to map its supply chain beyond tier one suppliers by initiating contact with top garment suppliers and mills by volume and requesting verification of cotton sourcing in its supply chain.,
Ethical sourcing and human rights,Wesfarmers,"The Group maintains an ongoing focus on ethical sourcing and modern slavery training and capacity building of all relevant team members, including senior management, the directors and other relevant team members such as merchandise and sourcing teams whose purchasing decisions may impact workers' rights.",
Ethical sourcing and human rights,Wesfarmers,"The Group's divisional buying and sourcing teams are kept up to date on ethical sourcing and human rights commitments and how actions may impact workers' rights through training, collaboration, information sharing and capacity building",
Ethical sourcing and human rights,Wesfarmers,Cross-functional teams in the Group's businesses regularly collaborate through human rights forums to share lessons learned and improve knowledge.,
Ethical sourcing and human rights,Wesfarmers,The findings from the Group's divisional audit programs and stakeholder engagements are included in training to ensure the divisions continue to improve understanding of ethical sourcing and human rights.,
Ethical sourcing and human rights,Wesfarmers,"The Group's divisional ethical sourcing teams also deliver training on ethical sourcing requirements to third-party auditors, suppliers and factories, so they understand ethical sourcing risks and the standards expected by Wesfarmers' businesses to prevent or mitigate such risks.",
Ethical sourcing and human rights,Wesfarmers,"This year, more than 2,800 hours of training was delivered to relevant team members on ethical sourcing risks and mitigation strategies through responsible buying practices.",
Ethical sourcing and human rights,Wesfarmers,"In addition, Bunnings and Officeworks partnered with ethical consultancy firm ELEVATE to provide business-specific training to select direct suppliers.",
Ethical sourcing and human rights,Wesfarmers,"Types of training included delivering e-learning modules, providing practical guidance to factory management relating to ethical business practices, managing working hours and production volumes; and creating safe workplaces to support the containment of COVID-19.",
Coexistence with Local Communities,TOSHIBA,"For Toshiba Group, we seek not just to resolve issues faced by local communities through business, but to conduct activities that are rooted in the area as a member of the local community.",
Coexistence with Local Communities,TOSHIBA,"As a corporate citizen, Toshiba Group aims to win the trust of local communities in countries and regions across the globe.",
Coexistence with Local Communities,TOSHIBA,Toshiba continued its efforts to support the employment and independence of people with disabilities in collaboration with local supporting organizations and enhance the local hygiene standard by cleaning around its business sites.,
Coexistence with Local Communities,TOSHIBA,"We will contribute to solving issues in local communities, in order to make sustainable society a reality.",
Coexistence with Local Communities,TOSHIBA,"We will also maintain business activities that are firmly rooted in the local communities, respecting the cultures and customs of each country.",
Coexistence with Local Communities,TOSHIBA,Toshiba Group contributes to the development of local communities and solution to issues imposed on them through our business activities.,
Coexistence with Local Communities,TOSHIBA,"At our manufacturing sites, we have been practicing procurement at optimal location by localizing management, developing human resources, promoting local procurement, and other activities.",
Coexistence with Local Communities,TOSHIBA,We have also contributed to the development of social infrastructure in developing and emerging countries in addition to the development of products that meet the needs of local communities.,
Coexistence with Local Communities,TOSHIBA,"Furthermore, we have set our policy on the relationships with local communities in Standards of Conduct for Toshiba Group.",
Coexistence with Local Communities,TOSHIBA,"The administration division at each site or company is responsible for handling relations with local communities, including constant communication with communities associations and other organizations.",
Coexistence with Local Communities,TOSHIBA,Check and Evaluation of Local Impacts of Establishing New Business Sites,
Coexistence with Local Communities,TOSHIBA,"When establishing new business operations, all Group companies at Toshiba Group adhere to laws and regulations, engage in dialogue with local authorities and residents and strive to maintain harmony with the community.",
Coexistence with Local Communities,TOSHIBA,"Once operations are underway, the companies disclose information about their business activities and environmental conservation initiatives and thus engage in fruitful communication with local community.",
Coexistence with Local Communities,TOSHIBA,"For manufacturing sites, environmental audits of sites evaluate the extent to which operations have an impact on the local environment.",
Coexistence with Local Communities,TOSHIBA,"Furthermore, efforts are being made to acquire ISO 14001 certification throughout Toshiba Group.",
Coexistence with Local Communities,TOSHIBA,"At all of these sites, we maintain good relationships with local communities.",
Coexistence with Local Communities,TOSHIBA,Contributions to Local Communities around Business Sites,
Coexistence with Local Communities,TOSHIBA,Support for the Employment and Independence of People with Intellectual Disabilities —Toshiba With Corporation,
Coexistence with Local Communities,TOSHIBA,"Established in 2005, Toshiba With Corporation is a Toshiba Group subsidiary mainly consisted of people with intellectual disabilities, and which aims to support the independence of those people.",
Coexistence with Local Communities,TOSHIBA,"At Toshiba With Corporation, employees are engaged in business operations for cleaning, printing, and mail delivery, or as health keepers within Toshiba Group.",
Coexistence with Local Communities,TOSHIBA,"Through these operations, they learn about work responsibilities and enjoyment in work, along with social rules and manners in order to achieve independent living.",
Coexistence with Local Communities,TOSHIBA,"The independence of the people with intellectual disabilities requires not only employment opportunities, but also support in living, including lifestyle and health management.",
Coexistence with Local Communities,TOSHIBA,"To this end, the company works in close collaboration with the families of the people with disabilities and local support organizations to create a unified support system.",
Coexistence with Local Communities,TOSHIBA,"We will continue to support promoting awareness and understanding of disabilities, fostering employee self-reliance, so everyone may play a more active role in society.",
Coexistence with Local Communities,TOSHIBA,Toshiba Group has been running in-house sales events during lunchtimes since 2004 with the aim of supporting the economic independence and participation in society of persons with disabilities.,
Coexistence with Local Communities,TOSHIBA,"In FY2020, sales events were held at its sites nationwide for products from disaster-stricken areas such as Tohoku and for local welfare facilities.",
Coexistence with Local Communities,TOSHIBA,"Additionally, in view of the spread of COVID-19, Toshiba Business Expert Corporation organized a sales event in support of post-disaster reconstruction on its website.",
Coexistence with Local Communities,TOSHIBA,Improving the Environment of Surrounding Communities,
Coexistence with Local Communities,TOSHIBA,Toshiba Group companies strive to improve the environment around their business sites.,
Coexistence with Local Communities,TOSHIBA,"In FY2020, the Group companies' employees across Japan cleaned areas around their business sites approximately 170 times.",
Coexistence with Local Communities,TOSHIBA,"As part of the initiative, Toshiba Chugoku Branch Office carried out a monthly cleaning activity around their office building.",
Coexistence with Local Communities,TOSHIBA,Toshiba set up a new leave system called Saiban-in (Lay Judge) System Leave to coincide with the commencement of the Lay Judge System from May 2009 in Japan.,
Coexistence with Local Communities,TOSHIBA,This leave facilitates the employees to participate as citizen jurors in criminal court procedures.,
Coexistence with Local Communities,TOSHIBA,"Based on the law for implementation of the Saiban-in system in criminal court procedures, the salary per day for the employee selected to participate in such system amounts to the basic salary per day.",
Coexistence with Local Communities,TOSHIBA,"Also, based on the above law, the number of leave days provided under this system equals to the maximum number of participation days under the Lay Judge System.",
Coexistence with Local Communities,TOSHIBA,"Contribution to Local Communities through Job Creation, Procurement and Tax Payment",
Coexistence with Local Communities,TOSHIBA,Toshiba Group expands its business around the world.,
Coexistence with Local Communities,TOSHIBA,"The jobs created contribute to local communities, especially the production facilities that employ a considerable number of local people.",
Coexistence with Local Communities,TOSHIBA,"Toshiba Group appropriately implements local procurement of materials, components and equipment, etc. based on the attributes of the items produced and the environment in which they are produced.",
Coexistence with Local Communities,TOSHIBA,"Centered on production bases in each country, and also using the International Procurement Office (IPO), we make efforts to promote optimal procurement, including local procurement.",
Coexistence with Local Communities,TOSHIBA,"By paying taxes in accordance with national laws and regulations, the Group companies and their employees make an economic contribution to the regions where they operate under its Basic Policy on Tax.",
Coexistence with Local Communities,TOSHIBA,"As a company involved in the nuclear industry, we recognize the importance of continuous improvements for nuclear safety.",
Coexistence with Local Communities,TOSHIBA,"So, we are fostering a nuclear safety culture, as well as voluntarily and continuously working to improve nuclear safety, in light of lessons learned from the Fukushima Daiichi Nuclear Power Plant accident.",
Coexistence with Local Communities,TOSHIBA,"The government and Tokyo Electric Power Company Holdings, Inc. (TEPCO) have developed a mid-and-long-term roadmap towards the decommissioning of TEPCO's Fukushima Daiichi Nuclear Power Station in 30 to 40 years.",
Coexistence with Local Communities,TOSHIBA,"This roadmap has set the target for the areas of contaminated water, removal of fuel from spend fuel pools, retrieval of fuel debris, and management of radioactive waste.",
Coexistence with Local Communities,TOSHIBA,Toshiba Energy Systems & Solutions Corporation has been making continuous efforts to develop the technologies to solve the challenges for achieving these targets and providing support toward decommissioning.,
Serving communities,Walmart,"As an omni-channel retailer with a physical presence in thousands of communities around the world, Walmart focuses on building thriving and resilient communities.",
Serving communities,Walmart,"Strong businesses help communities thrive; likewise, strengthening communities helps businesses thrive.",
Serving communities,Walmart,"Sam Walton opened his first Walmart store nearly 60 years ago to serve the community of Rogers, Arkansas.",
Serving communities,Walmart,"Today, as an omni-channel retailer physically present in thousands of communities around the world, we serve millions of customers and employ over 2 million associates who live, work and play in these communities.",
Serving communities,Walmart,"Our business success depends on meeting the expectations of our customers, associates and other stakeholders by contributing to communities in many ways, as described below.",
Serving communities,Walmart,"Serving communities lies at the heart of Walmart's mission to save people money and help them live better by providing convenient, omni-channel access to affordable food and other essential products and services day to day.",
Serving communities,Walmart,"We aim to create value for communities in many ways, including the following:",
Serving communities,Walmart,"Providing convenient access to affordable, quality food and other essential products through our omni-channel business model and everyday low prices",
Serving communities,Walmart,"Providing meaningful employment and helping develop the local workforce through quality jobs, training, education and career paths",
Serving communities,Walmart,Investing in the local supplier base in markets where we operate to meet customer needs while helping to support supplier jobs and inclusive economic growth,
Serving communities,Walmart,Contributing to community resilience through disaster response and enhancing food security,
Serving communities,Walmart,"Supporting local organizations and causes that matter to customers, associates and neighbors in our communities",
Serving communities,Walmart,"Contributing to the tax base through corporate income-based tax and the impact our business has in varying ways by community on other types of tax revenue (e.g., sales and property tax)",
Serving communities,Walmart,"We aim to serve communities by operating our business in a way that meets the needs of our customer and community stakeholder groups, complemented by additional efforts, including disaster support, associate volunteerism, local grant programs and community cohesion initiatives.",
Serving communities,Walmart,"First and foremost, we aim to serve communities through our core mission of helping people save money and live better: providing customers with convenient, omni-channel access to affordable, quality food, apparel, household items and other products and services.",
Serving communities,Walmart,"Convenient access to affordable products: In the U.S., our stores and/or clubs are within 10 miles of approximately 90% of American households, and our eCommerce capabilities allow us to reach many more.",
Serving communities,Walmart,"We have rolled out pickup at approximately 3,750 Walmart U.S. stores and all 597 Sam's Clubs, and same-day delivery is offered in nearly 3,000 Walmart stores.",
Serving communities,Walmart,"To help provide convenient access to affordable food to all our customers, regardless of income, we recently worked with the USDA and state agencies to allow customers to use SNAP benefits for pickup services (and we worked to scale this option in the first few months of the pandemic, when customers especially wanted low-contact shopping options).",
Serving communities,Walmart,"While SNAP benefits can be used chainwide in the U.S., they can now also be used for pickup and on Walmart.com, subject to restrictions in some states.",
Serving communities,Walmart,"During the COVID-19 pandemic, we have focused on sustaining community access to food and other essential products through store pickup, delivery and in-store options (with enhanced safety protocols for customers and associates) and on administering the distribution of vaccines.",
Serving communities,Walmart,"To learn more, see below and the COVID-19 U.S. Fact Sheet.",
Serving communities,Walmart,"Pharmacy, health and wellness services: Walmart also provides pharmacy, optical services and in-store health kiosks in thousands of locations, with a focus on affordability (e.g., $4 prescriptions for generic medications with no insurance necessary) and convenience (e.g., transfers, mobile express pickup).",
Serving communities,Walmart,"Recent innovations include Walmart Health clinics, a partnership with healthcare providers focused on providing affordable options for primary care, labs, counseling, dental, optical, hearing and community health services, and Walmart Insurance Services, a licensed insurance brokerage service.",
Serving communities,Walmart,"Financial services: Consistent with our mission to help people save money and live better, we announced the formation of a new fintech startup, intended to develop and offer innovative and affordable financial solutions.",
Serving communities,Walmart,"The offer will build on Walmart's flat, low-fee money transfer services, which have saved customers over $1.5 billion in estimated fees since launching in 2014.",
Serving communities,Walmart,"Read more: Safer, healthier food & other products.",
Serving communities,Walmart,Walmart pivoted our business to support communities with essential products and services during the COVID-19 pandemic.,
Serving communities,Walmart,Statements below are for initiatives in the U.S. unless otherwise stated.,
Serving communities,Walmart,"Special hours and assistance. We adjusted shopping and pickup hours for seniors, those with disabilities and those designated high-risk by the CDC.",
Serving communities,Walmart,"In addition, Sam's Clubs have had special hours for first responders, healthcare workers, seniors, and members with disabilities or compromised immune systems.",
Serving communities,Walmart,Those with the Nextdoor app in cities across the country could request assistance – or offer to help someone in their community – with shopping for their essential items at Walmart.,
Serving communities,Walmart,Contact-free services: Walmart stores have provided no-contact payment options at store registers and pickup and have expanded the availability of pickup and delivery.,
Serving communities,Walmart,"Sam's Clubs have offered Scan & Go and Curbside Pickup as no-contact payment options, and Walmart+ members have had access to Scan & Go at our stores as well.",
Serving communities,Walmart,"Customers using Supplemental Nutrition Assistance Program (SNAP) benefits have had the ability to use those benefits to pay at Walmart stores' pickup service, where the service is available.",
Serving communities,Walmart,"Pricing and availability: With certain products in high demand, Walmart maintained everyday low-price discipline, and we issued guidance setting limits on customer purchases for these items and other categories, including paper products, milk, eggs, cleaning supplies, hand sanitizer, water, diapers, wipes, formula and baby food to help sustain inventory availability for as many community members as possible.",
Serving communities,Walmart,COVID-19 testing. We have offered COVID-19 testing sites and provided testing through drive-thru pharmacy windows.,
Serving communities,Walmart,"As of June 2021, we supported more than 500 testing sites active across the country that have tested hundreds of thousands of people, and we have looked for ways to expand testing for our communities, including offering at home antigen test kits.",
Serving communities,Walmart,See our COVID-19 testing page for more information.,
Serving communities,Walmart,COVID-19 vaccine administration. Walmart and Sam's Club pharmacies began administering COVID-19 vaccines in the U.S. through the U.S. Federal Retail Pharmacy Program in February 2021.,
Serving communities,Walmart,"As of May 5, 2021, COVID-19 vaccines are now available in all Walmart and Sam's Club pharmacies, more than 5,100 nationwide, across 49 states, Puerto Rico and Washington, D.C..",
Serving communities,Walmart,"In Canada, Walmart is providing COVID-19 vaccines in our stores, and we are also providing testing for our supply chain associates and customers through third-party providers.",
Serving communities,Walmart,"In addition, the Walmart Foundation is supporting organizations through grants totaling $2.75 million to increase education, outreach and awareness of COVID-19 vaccines among diverse communities, including: NAACP Empowerment Programs, Inc., UnidosUS, Johns Hopkins Center for American Indian Health, Association of Asian-Pacific Community Health Organizations, the National Council of Asian Pacific Islander Physicians, Asian & Pacific Islander American Health Forum, Interfaith Youth Core and The Conference of National Black Churches.",
Serving communities,Walmart,We believe retail can be a springboard for economic opportunity.,
Serving communities,Walmart,"By providing quality jobs, training and career paths, we aim to meet our customers' rising expectations while retaining great talent and contributing to local employment and workforce development.",
Serving communities,Walmart,"We employ more than 2 million associates in thousands of communities around the globe, offering a variety of career opportunities.",
Serving communities,Walmart,"We offer low barriers to entry, competitive wages, benefits, on-the-job coaching and training, and for eligible associates in the U.S., the opportunity to participate in a program designed for adult working learners to graduate debt-free through Live Better U.",
Serving communities,Walmart,Read more: Human capital: good jobs and advancement for associates.,
Serving communities,Walmart,Communities struggled when government orders forced businesses to close in March 2020.,
Serving communities,Walmart,"As an essential business, Walmart was in a position to help affected individuals bridge the gap.",
Serving communities,Walmart,"In March 2020, Walmart announced plans to hire 150,000 hourly associates in the U.S. to help people who had been displaced from their jobs due to the impact of COVID-19 and to help with increased customer demand.",
Serving communities,Walmart,"We expanded our hiring goal to 200,000 and met it in less than a month.",
Serving communities,Walmart,"Within six months, we hired more than 500,000 new associates.",
Serving communities,Walmart,"To accomplish this additional hiring in a short time, we expedited our hiring process, which allows applicants to go from application to offer in as quickly as 24 hours.",
Serving communities,Walmart,Read more: COVID-19 Fact Sheet.,
Serving communities,Walmart,"Through sourcing and investing in our suppliers, Walmart aims not only to serve our customers well but also to help support jobs and inclusive economic growth in markets where we operate.",
Serving communities,Walmart,Some examples include:,
Serving communities,Walmart,Walmart has a long history of supporting American products.,
Serving communities,Walmart,"According to data from our suppliers, about two-thirds of what Walmart U.S. spends on products is attributable to items made, grown or assembled in communities across the U.S.",
Serving communities,Walmart,"Through our America at Work initiative, we committed to invest an incremental $250 billion in products that support the creation of American jobs between 2013 and 2023.",
Serving communities,Walmart,"As of the end of FY2021, we have purchased $145 billion towards our initiative, achieving 93% of our expected progress through the first eight years of the initiative.",
Serving communities,Walmart,"In March 2021, we announced a refreshed ten-year commitment to invest $350 billion in products made, grown or assembled in America.",
Serving communities,Walmart,"This investment has the potential to support more than 750,000 new American jobs53 and avoid more than an estimated 100 million metric tons of emissions.",
Serving communities,Walmart,"Walmart serves millions of customers and employs thousands of associates in communities across India through our Flipkart, PhonePe, and Best Price businesses.",
Serving communities,Walmart,"In support of communities across India and the country's rise as a global hub of manufacturing, Walmart announced in December 2020 that we will seek to triple our exports of goods from India to $10 billion each year by 2027.",
Serving communities,Walmart,"The new export commitment is expected to provide a significant boost to micro-, small- and medium-sized enterprises in communities across the country alongside our ongoing supplier development programs such as Flipkart Samarth and Walmart Vriddhi.",
Serving communities,Walmart,Walmart works with many small and medium enterprises in Mexico and Central America.,
Serving communities,Walmart,"We also lead supplier development programs focused on small and medium enterprises in the region, including Adopta una PyME (Adopt a SME), Una Mano para Crecer (A Helping Hand), and Tierra Fértil (Fertile Soil).",
Serving communities,Walmart,"Since 2017, the Walmart Foundation has awarded grants of over $52 million to benefit smallholder farmers in India, Mexico and Central America.",
Serving communities,Walmart,"These grants are expected to reach over 293,000 smallholder farmers, 44% of whom are women, and provide access to training and capacity development along with market linkages for smallholders in Farmer Producer Organizations (FPOs).",
Serving communities,Walmart,"A major part of the program focuses on India, where the Walmart Foundation has an active $25 million, five-year commitment to strengthen smallholders in FPOs.",
Serving communities,Walmart,Learn more: People in supply chains.,
Serving communities,Walmart,"In many communities, Walmart is a source of support during difficult times.",
Serving communities,Walmart,"Our experience with Hurricane Katrina in 2005 helped us realize how we could draw on our strengths to support community resilience in the face of natural disasters and other significant challenges such as food insecurity and, as we have experienced recently, the COVID-19 pandemic.",
Serving communities,Walmart,"We've worked to identify emerging risks and help communities, our stores, our associates and our customers prepare for and respond to disasters as well as health and social challenges.",
Serving communities,Walmart,"In FY2017, Walmart and the Walmart Foundation pledged $25 million in cash and in-kind donations to support disaster preparedness and relief through 2020.",
Serving communities,Walmart,"Since 2016, Walmart, Sam's Club and the Walmart Foundation have provided more than $108 million for disaster preparedness, response and relief efforts supporting communities around the globe.",
Serving communities,Walmart,"In 2020, our Emergency Operations Center, stores, clubs, DCs, and Walmart.org team worked to help communities respond to disasters ranging from wildfires and earthquakes to hurricanes and tornadoes.",
Serving communities,Walmart,Support included:,
Serving communities,Walmart,"Walmart and the Walmart Foundation committed up to $1 million in cash and in-kind product donations to support relief efforts to help feed and shelter those affected by wildfires in California, Oregon and Washington.",
Serving communities,Walmart,"When Central America fell victim to Hurricanes Iota and Eta in late 2020, our stores in the region engaged with emergency efforts and supported organizations that helped those affected by the storms.",
Serving communities,Walmart,Walmart and the Walmart Foundation responded with a commitment of up to $1 million through the Walmart Foundation Disaster Relief Fund at Charities Aid Foundation of America.,
Serving communities,Walmart,The Fund supported organizations including the International Federation of the Red Cross and the Red Crescent Societies.,
Serving communities,Walmart,"In one of the most active hurricane seasons on record, Walmart, Sam's Club and the Walmart Foundation committed up to $2.5 million in cash and in-kind product donations to organizations leading response and recovery efforts in southwest Louisiana and southeast Texas after Hurricane Laura.",
Serving communities,Walmart,"In addition, Walmart and Sam's Club provided phone charging stations in the Lake Charles area and hosted food relief organizations handing out hot meals in our parking lots.",
Serving communities,Walmart,We also support initiatives to build the capacity of communities to respond when disaster strikes.,
Serving communities,Walmart,"For example, in 2019, the Walmart Foundation invested $2 million in the American Red Cross' development of the Red Cross Visual Event Wizard (RC View), a geospatial tool that aggregates and shares critical real-time data for situation awareness across organizations to enable a faster, more coordinated and more efficient response.",
Serving communities,Walmart,Read more: Disaster preparedness & response.,
Serving communities,Walmart,"For more than a decade, Walmart and the Walmart Foundation have prioritized enhancing food security in U.S. communities through initiatives that we now call Healthier Food for All; in the past few years we have expanded efforts to other Walmart markets such as Canada and Mexico.",
Serving communities,Walmart,Our efforts to enhance food security focus on facilitating access to nutritious food and building confidence to prepare and serve healthier meals:,
Serving communities,Walmart,"Food donations. In FY2021, Walmart stores, clubs and distribution centers in the U.S. donated more than 627 million pounds of food55, 66% of which were fruits, vegetables, dairy products and meats.",
Serving communities,Walmart,"These donations help to improve food security for those in need and strengthen the charitable meal system – the network of food banks, food pantries and meal programs across the U.S.",
Serving communities,Walmart,"Strengthening the charitable meal system. For years, we have worked with many organizations across the U.S. to strengthen the capacity of the charitable meal system to recover and distribute food, particularly fresh food, to those who need it.",
Serving communities,Walmart,One of our longest-standing relationships to help strengthen access to food in communities is with Feeding America.,
Serving communities,Walmart,"In 2020 alone, Walmart and the Walmart Foundation contributed more than $13 million in grants to support Feeding America, a nationwide network of 200 food banks in the U.S.",
Serving communities,Walmart,"Reaching underserved populations. The Walmart Foundation supports efforts to unlock resources for community-based organizations and entrepreneurs in geographic areas with limited access to food, oftentimes characterized as food deserts and/or swamps, focusing on removing barriers to funding for Black, Indigenous and People of Color (BIPOC)-led organizations.",
Serving communities,Walmart,Read more: Equity & inclusion at Walmart & beyond.,
Serving communities,Walmart,"Encouraging healthier choices. Walmart's everyday low-price proposition includes a focus on providing affordable, healthier food options through stores, clubs, grocery pickup and home delivery channels.",
Serving communities,Walmart,"Walmart and the Walmart Foundation also provide philanthropic support to programs that help build people's confidence in selecting, preparing and serving healthier meals.",
Serving communities,Walmart,"Since FY2015, Walmart and the Walmart Foundation have funded nutrition education programs reaching 4 million people, a milestone achieved in 2019.",
Serving communities,Walmart,"Building on this milestone, in FY2021 alone, the Walmart Foundation provided additional funding to reach over 500,000 people with nutrition education.",
Serving communities,Walmart,"For example, the Walmart Foundation has supported Feeding America, Share Our Strength's No Kid Hungry, Brighter Bites and National 4-H Council —organizations that work to improve food security in communities and bolster programs that teach children and their families how to make healthier choices.",
Serving communities,Walmart,"The 4-H Healthy Habits program has shown that when children and families learn about healthy eating, they increase their healthy eating habits and adopt other healthy behaviors like drinking more water and physical activity.",
Serving communities,Walmart,Brighter Bites' programming engages kids and families in schools across the country increasing access to fresh fruits and vegetables combined with nutrition education to prevent obesity and improve health outcomes.,
Serving communities,Walmart,"Engaging customers. Since 2014, Walmart and Feeding America have led an annual Fight Hunger.",
Serving communities,Walmart,"Spark Change. campaign to bring greater awareness to the fight against hunger in the U.S. To date, Walmart, Sam's Club, participating suppliers and customers have cumulatively raised $119 million for Feeding America and its network of local food banks.",
Serving communities,Walmart,"Sharing best practices. In FY2021, the Walmart Foundation provided a grant to help found the Healthy Food Community of Practice, involving more than 35 organizations focused on healthier food access and consumption.",
Serving communities,Walmart,"To help communities respond to COVID-19, Walmart has focused on the safety of our associates and customers, providing access to essential products and services through our omni-channel business, administering COVID-19 vaccines and testing (as feasible based on local community conditions and regulations), and providing employment at a time when many were seeking it.",
Serving communities,Walmart,Read more: COVID-19 Factsheet and Human capital: Good jobs & advancement for associates.,
Serving communities,Walmart,We also brought our philanthropy to bear.,
Serving communities,Walmart,"In FY2021, Walmart and the Walmart Foundation gave more than $43 million in cash and in-kind donations to support COVID-19 response efforts around the world related to health care, technology and food access.",
Serving communities,Walmart,"We announced in April 2021 that to help India meet its urgent need for medical-grade oxygen, Walmart businesses worldwide are working together to procure vital oxygen concentrators and other equipment.",
Serving communities,Walmart,"Extending these efforts, the Walmart Foundation committed up to $2 million to support various NGOs in India.",
Serving communities,Walmart,Read more about the organizations that received funds as part of our response to the pandemic here and here.,
Serving communities,Walmart,"According to Feeding America, the largest food relief organization in the U.S., COVID-19 reversed progress the U.S. had been making on food insecurity pre-pandemic, putting an estimated one in eight people at risk of hunger by the end of 2020, and demand at food banks increased by 55%.",
Serving communities,Walmart,"Walmart and the Walmart Foundation, long-standing supporters of Feeding America, contributed over $13 million to the organization in 2020 alone.",
Serving communities,Walmart,"Walmart U.S. stores, clubs and distribution centers also donated unsold food and other surplus items toward hunger-relief organizations.",
Serving communities,Walmart,Our philanthropic response to COVID-19 included helping charitable partners adapt to the challenges of physical distancing.,
Serving communities,Walmart,"For example, during the 2020 Christmas holiday season, Walmart and the Salvation Army worked together to add virtual giving options to two iconic giving programs – the Red Kettle and Angel Tree campaigns (an option to ""round up"" purchases to the nearest dollar at check out for local Salvation Army chapters; virtual Angel Trees on Walmart.com).",
